Time,PTSI,VSI,VCPI,Frequency,df/dt,Voltage
2.41,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.42,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.43,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.44,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.45,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.46,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.47,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.48,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.49,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.5,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.51,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.52,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.53,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.54,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.55,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.56,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.57,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.58,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.59,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.6,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.61,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.62,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.63,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.64,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.65,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.66,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.67,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.68,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.69,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.7,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.71,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.72,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.73,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.74,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.75,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.76,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.77,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.78,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.79,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.8,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.81,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.82,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.83,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.84,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.85,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.86,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.87,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.88,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.89,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.9,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.91,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.92,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.93,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.94,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.95,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.96,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.97,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.98,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
2.99,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.01,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.02,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.03,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.04,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.05,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.06,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.07,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.08,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.09,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.1,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.11,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.12,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.13,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.14,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.15,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.16,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.17,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.18,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
3.19,0.0200303979,0.9999999996,0.0588738002,50,0,0.95951
